Designator,Footprint,Quantity,Value,LCSC Part #
IC48,DIL14,1,7414N,
IC49,DIL20,1,74241N,
IC7,SO16,1,74138D,
IC8,TQFP32-5MM,1,MAX3421E,
"J1, J3, J4, J5",PinHeader_1x01_P2.54mm_Vertical,4,Conn_01x01_Pin,
J2,DCJ0202,1,DCJ0202,
"JP1, JP11, JP12, JP15, JP17, JP2, JP3, JP4, JP6",JP1,9,JP1E,
JP10,JP3Q,1,JP3Q,
"JP13, JP14, JP16, JP18, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP27, JP28, JP29, JP31, JP5, JP8",JP2,17,JP2E,
JP30,JP6Q,1,JP6Q,
JP7,JP4,1,JP4E,
JS1,RENJS6,1,RENOSCXLH,
L2,0204_7@1,1,1uH,
L4,TJ4-U2,1,170-200uH,
LED1,LED3MM,1,LED3MM,
P1,CSABUSSOCK180,1,CSABUSSOCK180,
P2,C64KEYB,1,C64KEYB,
P3,FLAT24,1,IEEE488FLATCABLE,
P5,FLAT24,1,PETUSERPORT,
"P6, P7",JP6,2,CBMTAPE,
P8,C64KEYB,1,PETKEYBD,
Q1,TO92,1,BC557,
Q2,TC26H,1,32kHz,
Q3,HC49_S,1,12MHz,
Q4,MICRO3,1,IRLML5203,
QG1,SG51,1,50MHz,
QG2,SG51,1,16MHz,
QG3,SG51,1,"1,8432MHz",
"R1, R2, R32, R4",0204_7,4,33,
"R10, R11, R24, R30, R9",0207_2V,5,10k,
"R101, R34, R35, R86, R87",0207_10,5,4k7,
"R103, R74, R75",0207_10,3,10k,
R12,0207_2V,1,1k5,
"R13, R14, R15",0204V,3,470,
"R16, R27, R6",0204_5,3,10k,
"R17, R26",0204_7,2,10k,
"R18, R19, R20",0204V,3,1k,
R22,0207_2V,1,390,
R25,0207_2V,1,4k7,
"R28, R31",0204V,2,100,
R29,0207_2V,1,330,
R33,0207_10,1,10,
R48,0207_2V,1,100k,
R49,0204_7,1,0.22,
R5,0207_2V,1,1k,
R50,0204_7,1,180,
"R52, R54, R56, R58, R60, R62, R64, R66",0204_7,8,100K,
"R53, R57, R61, R65",0204_7,4,10M,
"R55, R59, R63, R67",0204_7,4,470,
"R68, R69",0204_7,2,47k,
"R7, R8",0204V,2,68,
R73,0207_10,1,1k,
R76,0207_7,1,15k,
"R77, R79, R80",0207_7,3,100k,
R78,0207_7,1,10k,
R81,0207_7,1,470,
RG0,0204_7,1,1k1,
"RN1, RN2",RN-9,2,10k,
"RN3, RN5",RN-9,2,5k1,
"RN4, RN6",RN-9,2,2k4,
RN8,RN-8,1,10k,
RS0,0204_7,1,6k8,
"S1, S2",B3F-31XX,2,31-XX,
SJ1,SJ_2,1,SJ2W,
SN1,SOIC8,1,MCP48X2,
SW1,SW_E-Switch-400AWMDPxR1M1x,1,~,
T10,TO92,1,BC547,
"T6, T7",TO92,2,2T2222,
T8,TO220,1,TIP31,
U$1,PLCC44,1,W65C816SPLCC,
"U$10, U$11, U$14, U$15, U$5, U$6, U$8",SOD323,7,ESDBIDIR,
U$12,GRAVITECH-SDCARD,1,SD-CARD-GRAVI,
U$13,MSOP10,1,MCP79510,
U$16,PSOP-8-FIXED,1,AP2132BB,
"U$18, U$4",DIL08,2,SPIFLASH,
U$19,TQFP144,1,XC6SLX9-TQG144,
"U$20, U$21",DIL20,2,74LS641,
"U$22, U$23",DIL28,2,SID,
U$24,DIL08,1,MC34063A,
U$25,FABC48R2,1,CSASHORTBUSFA,
U$26,JP7,1,JP7,
U$27,JP5,1,JP5,
U$28,DIN6PIEC,1,DINIEC,
U$3,SOT223,1,LDI1117,
U$7,FLAT10BOX,1,XILINXPROG,
U$9,ETHOLIENC,1,ETHOLIENC,
U1,SOT-23-5,1,74LVC1G04,
USB1,USB-A-H,1,USB-A-H,
X1,FPS009-3000,1,FPS009-300,
X2,HDR15RA,1,D-SUB15-HDR15RA,
X3,M09HP,1,M09HPS,
X4,1503_09,1,1503_09,
"X7, X8",182-009-MALE,2,M09-182,
