Comment,Designator,Footprint,LCSC,Quantity
IEEE488FLATCABLE,"P3,P5",FLAT24,C9137,2
C64KEYB,P2,C64KEYB,,1
2T2222,T6,TO92,,1
47u,C151,"E2,5-6",,1
M09-182,X7,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,,1
dual 10k linear,RV1,RK12L12_horizontal,,1
Conn_01x07,J13,PinHeader_1x07_P2.54mm_Vertical,,1
LED3MM,LED1,LED3MM,,1
47u,C153,"E2,5-6",,1
31-XX,S2,B3F-31XX,,1
22000,C81,C025-025X050,,1
M09-182,X8,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,,1
Conn_01x01_Pin,J4,PinHeader_1x01_P2.54mm_Vertical,,1
100u,C21,E2-5,,1
4u7,C88,"E2,5-6",,1
47u,C61,"E2,5-6",,1
1u,C117,E2-5,,1
1u,C96,E2-5,,1
47u,C6,"E2,5-6",,1
47u,C75,"E2,5-7",,1
"1,8432MHz",QG3,SG51,,1
Conn_01x01_Pin,J5,PinHeader_1x01_P2.54mm_Vertical,,1
22u,C38,"E2,5-6",,1
PORT_CASSETTE_EDGE,CN2,MA156_6-2_KEYED,,1
47u,C72,"E2,5-7",,1
32kHz,Q2,TC26H,,1
1u,C95,E2-5,,1
22000,C79,C025-025X050,,1
BC557,Q1,TO92,,1
2200,C162,C025-025X050,,1
470u,C97,"E2,5-7",,1
M09HPS,X3,M09HP,,1
100u,C158,CP_Radial_D5.0mm_P2.50mm,,1
2200,C163,C025-025X050,,1
7.5V,D13,C1702-15,,1
Conn_01x09,J11,PinHeader_1x09_P2.54mm_Vertical,,1
0.22,R49,0204_7,,1
Conn_01x09,J12,PinHeader_1x09_P2.54mm_Vertical,,1
PORT_USER_PET_EDGE,CN5,MA156_12-2_USER,,1
100u,C9,E2-5,,1
1u,C86,"E2,5-6",,1
1503_09,X4,1503_09,,1
USB-A-H,USB1,USB-A-H,,1
10u,C83,E2-5,,1
100u,C159,CP_Radial_D5.0mm_P2.50mm,,1
Conn_01x01_Pin,J1,PinHeader_1x01_P2.54mm_Vertical,,1
10u,C119,E2-5,,1
1u,C90,"E2,5-6",,1
D-SUB15-HDR15RA,X2,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,,1
2200,C161,C025-025X050,,1
"0.01, 50V",C125,C025-024X044,,1
PORT_IEEE_EDGE,CN3,MA156_12-2_IEEE,,1
16255 UART,IC6,PLCC-44_THT-Socket,,1
2T2222,T7,TO92,,1
BC547,T10,TO92,,1
100u,C98,"E2,5-7",,1
4u7,C89,"E2,5-6",,1
47u,C156,"E2,5-6",,1
~,SW1,SW_E-Switch-400-combined2,,1
1500p,C114,C025-024X044,,1
330u,C99,"E2,5-7",,1
22000,C78,C025-025X050,,1
22000,C80,C025-025X050,,1
Conn_01x01_Pin,J3,PinHeader_1x01_P2.54mm_Vertical,,1
10u,C130,E2-4,,1
TIP31,T8,TO220,,1
12MHz,Q3,HC49_S,,1
10u,C82,E2-5,,1
Conn_01x09,J10,PinHeader_1x09_P2.54mm_Vertical,,1
1u,C91,"E2,5-6",,1
47u,C140,"E2,5-7",,1
0.47,C126,C025-025X050,,1
DS1813,DS1818,TO-92_Inline,,1
31-XX,S1,B3F-31XX,,1
200uH,L4,TJ4-U2,,1
10u,C122,E2-5,,1
100u,C136,E2-5,,1
4700u,C168,CP_Radial_D16.0mm_P7.50mm,,1
1uH,L2,0204_7@1,,1
2200,C164,C025-025X050,,1
1u,C116,E2-5,,1
1u,C118,E2-5,,1
Conn_01x01_Pin,J9,PinHeader_1x01_P2.54mm_Vertical,,1
PIEZOBEEPERPIEZO,BEEP1,PIEZOBEEPER,,1
1u,C87,"E2,5-6",,1
1u,C115,E2-5,,1
~,P10,Pmod-SDCard,,1
CSABUSSOCK180,P1,CSABUSSOCK180,,1
100u,C129,E2-5,,1
Extended_PET_keyboard_connector,J14,PET_Extended_Keyboard_Connector,,1
JP7,UX26,JP7,,1
CSASHORTBUSFA,UX25,FABC48R2-reversed,,1
SD-CARD-GRAVI,UX12,GRAVITECH-SDCARD,,1
ETHOLIENC,UX9,ETHOLIENC,,1
DINIEC,UX28,DIN6PIEC,,1
